LISTA,LBL_TIPO_METRICA,ABS_RANK,TIPO_METRICA,LOCALE,NAZIONALE,FLG_NOT_VALID,COMUNE,ANNO
NULLE,Voti ottenuti,11,VOTI_OTTENUTI,52.0,931445.0,1,VANZAGHELLO,2008
BIANCHE,Voti ottenuti,15,VOTI_OTTENUTI,17.0,485870.0,1,VANZAGHELLO,2008
BIANCHE,Percentuale (su aventi diritto),15,PERC_ASS,0.41,1.03,1,VANZAGHELLO,2008
BIANCHE,Percentuale (su voti validi),15,PERC_VAL,,,1,VANZAGHELLO,2008
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,4191.0,46905154.0,1,VANZAGHELLO,2013
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,VANZAGHELLO,2013
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,VANZAGHELLO,2013
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,3342.0,35270926.0,1,VANZAGHELLO,2013
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,79.74,75.2,1,VANZAGHELLO,2013
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,VANZAGHELLO,2013
ASTENUTI,Voti ottenuti,3,VOTI_OTTENUTI,849.0,11634228.0,1,VANZAGHELLO,2013
ASTENUTI,Percentuale (su aventi diritto),3,PERC_ASS,20.26,24.8,1,VANZAGHELLO,2013
ASTENUTI,Percentuale (su voti validi),3,PERC_VAL,,,1,VANZAGHELLO,2013
NULLE,Percentuale (su voti validi),9,PERC_VAL,,,1,VANZAGHELLO,2013
NULLE,Voti ottenuti,9,VOTI_OTTENUTI,114.0,869892.0,1,VANZAGHELLO,2013
NULLE,Percentuale (su aventi diritto),9,PERC_ASS,2.72,1.85,1,VANZAGHELLO,2013
BIANCHE,Percentuale (su aventi diritto),14,PERC_ASS,0.86,0.84,1,VANZAGHELLO,2013
BIANCHE,Percentuale (su voti validi),14,PERC_VAL,,,1,VANZAGHELLO,2013
BIANCHE,Voti ottenuti,14,VOTI_OTTENUTI,36.0,395279.0,1,VANZAGHELLO,2013
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,4191.0,46505350.0,1,VANZAGHELLO,2018
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,VANZAGHELLO,2018
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,VANZAGHELLO,2018
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,3291.0,33923321.0,1,VANZAGHELLO,2018
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,78.53,72.94,1,VANZAGHELLO,2018
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,VANZAGHELLO,2018
ASTENUTI,Percentuale (su aventi diritto),5,PERC_ASS,21.47,27.06,1,VANZAGHELLO,2018
ASTENUTI,Percentuale (su voti validi),5,PERC_VAL,,,1,VANZAGHELLO,2018
ASTENUTI,Voti ottenuti,5,VOTI_OTTENUTI,900.0,12582029.0,1,VANZAGHELLO,2018
NULLE,Percentuale (su aventi diritto),12,PERC_ASS,2.96,1.49,1,VANZAGHELLO,2018
NULLE,Percentuale (su voti validi),12,PERC_VAL,,,1,VANZAGHELLO,2018
NULLE,Voti ottenuti,12,VOTI_OTTENUTI,124.0,692855.0,1,VANZAGHELLO,2018
BIANCHE,Percentuale (su voti validi),20,PERC_VAL,,,1,VANZAGHELLO,2018
BIANCHE,Voti ottenuti,20,VOTI_OTTENUTI,34.0,389441.0,1,VANZAGHELLO,2018
BIANCHE,Percentuale (su aventi diritto),20,PERC_ASS,0.81,0.84,1,VANZAGHELLO,2018
ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,4153.0,46021956.0,1,VANZAGHELLO,2022
ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1,VANZAGHELLO,2022
ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1,VANZAGHELLO,2022
VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,2938.0,29413657.0,1,VANZAGHELLO,2022
VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,70.74,63.91,1,VANZAGHELLO,2022
VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1,VANZAGHELLO,2022
ASTENUTI,Voti ottenuti,4,VOTI_OTTENUTI,1215.0,16608299.0,1,VANZAGHELLO,2022
ASTENUTI,Percentuale (su aventi diritto),4,PERC_ASS,29.26,36.09,1,VANZAGHELLO,2022
ASTENUTI,Percentuale (su voti validi),4,PERC_VAL,,,1,VANZAGHELLO,2022
NULLE,Percentuale (su voti validi),16,PERC_VAL,,,1,VANZAGHELLO,2022
NULLE,Voti ottenuti,16,VOTI_OTTENUTI,82.0,822179.0,1,VANZAGHELLO,2022
NULLE,Percentuale (su aventi diritto),16,PERC_ASS,1.97,1.79,1,VANZAGHELLO,2022
BIANCHE,Percentuale (su aventi diritto),23,PERC_ASS,0.75,1.07,1,VANZAGHELLO,2022
BIANCHE,Percentuale (su voti validi),23,PERC_VAL,,,1,VANZAGHELLO,2022
BIANCHE,Voti ottenuti,23,VOTI_OTTENUTI,31.0,493282.0,1,VANZAGHELLO,2022
